Date,Closing Price (USD)
1/21/2015,212
1/22/2015,230
1/23/2015,226
1/24/2015,231
1/25/2015,251
1/26/2015,283
1/27/2015,258
1/28/2015,257
1/29/2015,235
1/30/2015,233
1/31/2015,226
2/1/2015,216
2/2/2015,229
2/3/2015,237
2/4/2015,225
2/5/2015,226
2/6/2015,219
2/7/2015,225
2/8/2015,225
2/9/2015,222
2/10/2015,220
2/11/2015,223
2/12/2015,218
2/13/2015,223
2/14/2015,237
2/15/2015,256
2/16/2015,230
2/17/2015,235
2/18/2015,242
2/19/2015,237
2/20/2015,241
2/21/2015,245
2/22/2015,245
2/23/2015,235
2/24/2015,238
2/25/2015,238
2/26/2015,235
2/27/2015,251
2/28/2015,251
3/1/2015,251
3/2/2015,258
3/3/2015,270
3/4/2015,278
3/5/2015,269
3/6/2015,274
3/7/2015,270
3/8/2015,276
3/9/2015,277
3/10/2015,294
3/11/2015,289
3/12/2015,292
3/13/2015,293
3/14/2015,282
3/15/2015,283
3/16/2015,290
3/17/2015,290
3/18/2015,283
3/19/2015,252
3/20/2015,263
3/21/2015,259
3/22/2015,259
3/23/2015,267
3/24/2015,265
3/25/2015,246
3/26/2015,245
3/27/2015,246
3/28/2015,248
3/29/2015,246
3/30/2015,245
3/31/2015,247
4/1/2015,243
4/2/2015,246
4/3/2015,252
4/4/2015,253
4/5/2015,252
4/6/2015,260
4/7/2015,252
4/8/2015,252
4/9/2015,244
4/10/2015,240
4/11/2015,236
4/12/2015,236
4/13/2015,235
4/14/2015,222
4/15/2015,220
4/16/2015,226
4/17/2015,227
4/18/2015,223
4/19/2015,223
4/20/2015,223
4/21/2015,224
4/22/2015,235
4/23/2015,234
4/24/2015,233
4/25/2015,228
4/26/2015,219
4/27/2015,219
4/28/2015,227
4/29/2015,225
4/30/2015,225
5/1/2015,236
5/2/2015,233
5/3/2015,236
5/4/2015,240
5/5/2015,235
5/6/2015,235
5/7/2015,230
5/8/2015,237
5/9/2015,244
5/10/2015,241
5/11/2015,239
5/12/2015,240
5/13/2015,241
5/14/2015,235
5/15/2015,237
5/16/2015,236
5/17/2015,236
5/18/2015,236
5/19/2015,233
5/20/2015,232
5/21/2015,234
5/22/2015,235
5/23/2015,240
5/24/2015,239
5/25/2015,240
5/26/2015,237
5/27/2015,237
5/28/2015,237
5/29/2015,237
5/30/2015,236
5/31/2015,233
6/1/2015,230
6/2/2015,223
6/3/2015,226
6/4/2015,225
6/5/2015,223
6/6/2015,224
6/7/2015,225
6/8/2015,223
6/9/2015,228
6/10/2015,229
6/11/2015,229
6/12/2015,229
6/13/2015,230
6/14/2015,233
6/15/2015,234
6/16/2015,237
6/17/2015,248
6/18/2015,247
6/19/2015,249
6/20/2015,240
6/21/2015,244
6/22/2015,244
6/23/2015,247
6/24/2015,243
6/25/2015,240
6/26/2015,242
6/27/2015,242
6/28/2015,250
6/29/2015,249
6/30/2015,258
7/1/2015,261
7/2/2015,259
7/3/2015,255
7/4/2015,253
7/5/2015,261
7/6/2015,267
7/7/2015,270
7/8/2015,264
7/9/2015,267
7/10/2015,269
7/11/2015,286
7/12/2015,301
7/13/2015,304
7/14/2015,290
7/15/2015,288
7/16/2015,287
7/17/2015,276
7/18/2015,278
7/19/2015,275
7/20/2015,274
7/21/2015,279
7/22/2015,274
7/23/2015,276
7/24/2015,276
7/25/2015,287
7/26/2015,287
7/27/2015,291
7/28/2015,293
7/29/2015,292
7/30/2015,288
7/31/2015,286
8/1/2015,282
8/2/2015,278
8/3/2015,279
8/4/2015,283
8/5/2015,284
8/6/2015,280
8/7/2015,275
8/8/2015,278
8/9/2015,261
8/10/2015,265
8/11/2015,264
8/12/2015,270
8/13/2015,264
8/14/2015,262
8/15/2015,265
8/16/2015,261
8/17/2015,258
8/18/2015,256
8/19/2015,230
8/20/2015,232
8/21/2015,234
8/22/2015,233
8/23/2015,231
8/24/2015,227
8/25/2015,203
8/26/2015,219
8/27/2015,224
8/28/2015,224
8/29/2015,230
8/30/2015,230
8/31/2015,227
9/1/2015,229
9/2/2015,226
9/3/2015,228
9/4/2015,227
9/5/2015,229
9/6/2015,240
9/7/2015,239
9/8/2015,242
9/9/2015,244
9/10/2015,237
9/11/2015,240
9/12/2015,239
9/13/2015,235
9/14/2015,229
9/15/2015,230
9/16/2015,230
9/17/2015,229
9/18/2015,233
9/19/2015,232
9/20/2015,231
9/21/2015,230
9/22/2015,227
9/23/2015,231
9/24/2015,231
